epoch,steps,cosine_pearson,cosine_spearman
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,0.7933260052833897,0.7837394451630569
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
