epoch,steps,cosine_pearson,cosine_spearman
-1,-1,0.31764151603652757,0.4253028989803711
-1,-1,0.3176416819652932,0.4253012992630364
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,0.08870981107980531,0.09393558044894465
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,nan,nan
-1,-1,0.28660600535094827,0.36175741239784975
-1,-1,0.6899485839739418,0.6739857303795914
-1,-1,nan,nan
-1,-1,0.1826875767270391,0.3374019160902819
-1,-1,0.12152636051213866,0.1961637265456123
-1,-1,0.7933260013747798,0.783739162371822
